Name,Genre,Platform,Publisher,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Call of Duty: Modern Warfare 3,Shooter,X360,Activision,2011.0,9.03,4.28,0.13,1.32,14.76
Pokémon Yellow: Special Pikachu Edition,Role-Playing,GB,Nintendo,1998.0,5.89,5.04,3.12,0.59,14.64
Call of Duty: Black Ops,Shooter,X360,Activision,2010.0,9.67,3.73,0.11,1.13,14.64
Pokemon X/Pokemon Y,Role-Playing,3DS,Nintendo,2013.0,5.17,4.05,4.34,0.79,14.35
Call of Duty: Black Ops 3,Shooter,PS4,Activision,2015.0,5.77,5.81,0.35,2.31,14.24
Call of Duty: Black Ops II,Shooter,PS3,Activision,2012.0,4.99,5.88,0.65,2.52,14.03
Call of Duty: Black Ops II,Shooter,X360,Activision,2012.0,8.25,4.3,0.07,1.12,13.73
Call of Duty: Modern Warfare 2,Shooter,X360,Activision,2009.0,8.52,3.63,0.08,1.29,13.51
Call of Duty: Modern Warfare 3,Shooter,PS3,Activision,2011.0,5.54,5.82,0.49,1.62,13.46
Grand Theft Auto III,Action,PS2,Take-Two Interactive,2001.0,6.99,4.51,0.3,1.3,13.1
Super Smash Bros. Brawl,Fighting,Wii,Nintendo,2008.0,6.75,2.61,2.66,1.02,13.04
Call of Duty: Black Ops,Shooter,PS3,Activision,2010.0,5.98,4.44,0.48,1.83,12.73
Animal Crossing: Wild World,Simulation,DS,Nintendo,2005.0,2.55,3.52,5.33,0.88,12.27
Mario Kart 7,Racing,3DS,Nintendo,2011.0,4.74,3.91,2.67,0.89,12.21
Halo 3,Shooter,X360,Microsoft Game Studios,2007.0,7.97,2.83,0.13,1.21,12.14
Grand Theft Auto V,Action,PS4,Take-Two Interactive,2014.0,3.8,5.81,0.36,2.02,11.98
Pokemon HeartGold/Pokemon SoulSilver,Action,DS,Nintendo,2009.0,4.4,2.77,3.96,0.77,11.9
Super Mario 64,Platform,N64,Nintendo,1996.0,6.91,2.85,1.91,0.23,11.89
Gran Turismo 4,Racing,PS2,Sony Computer Entertainment,2004.0,3.01,0.01,1.1,7.53,11.66
Super Mario Galaxy,Platform,Wii,Nintendo,2007.0,6.16,3.4,1.2,0.76,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,3DS,Nintendo,2014.0,4.23,3.37,3.08,0.65,11.33
Super Mario Land 2: 6 Golden Coins,Adventure,GB,Nintendo,1992.0,6.16,2.04,2.69,0.29,11.18
Grand Theft Auto IV,Action,X360,Take-Two Interactive,2008.0,6.76,3.1,0.14,1.03,11.02
Gran Turismo,Racing,PS,Sony Computer Entertainment,1997.0,4.02,3.87,2.54,0.52,10.95
Super Mario 3D Land,Platform,3DS,Nintendo,2011.0,4.89,2.99,2.13,0.78,10.79
Gran Turismo 5,Racing,PS3,Sony Computer Entertainment,2010.0,2.96,4.88,0.81,2.12,10.77
Call of Duty: Modern Warfare 2,Shooter,PS3,Activision,2009.0,4.99,3.69,0.38,1.63,10.69
Grand Theft Auto IV,Action,PS3,Take-Two Interactive,2008.0,4.76,3.76,0.44,1.62,10.57
Super Mario All-Stars,Platform,SNES,Nintendo,1993.0,5.99,2.15,2.12,0.29,10.55
Pokemon FireRed/Pokemon LeafGreen,Role-Playing,GBA,Nintendo,2004.0,4.34,2.65,3.15,0.35,10.49
Super Mario 64,Platform,DS,Nintendo,2004.0,5.08,3.11,1.25,0.98,10.42
Call of Duty: Ghosts,Shooter,X360,Activision,2013.0,6.72,2.63,0.04,0.82,10.21
Halo: Reach,Shooter,X360,Microsoft Game Studios,2010.0,7.03,1.98,0.08,0.78,9.88
Mario Kart 64,Racing,N64,Nintendo,1996.0,5.55,1.94,2.23,0.15,9.87
New Super Mario Bros. 2,Platform,3DS,Nintendo,2012.0,3.66,3.07,2.47,0.63,9.82
Halo 4,Shooter,X360,Microsoft Game Studios,2012.0,6.63,2.36,0.04,0.73,9.76
Final Fantasy VII,Role-Playing,PS,Sony Computer Entertainment,1997.0,3.01,2.47,3.28,0.96,9.72
Call of Duty: Ghosts,Shooter,PS3,Activision,2013.0,4.09,3.73,0.38,1.38,9.59
Just Dance 2,Misc,Wii,Ubisoft,2010.0,5.84,2.89,0.01,0.78,9.52
Gran Turismo 2,Racing,PS,Sony Computer Entertainment,1999.0,3.88,3.42,1.69,0.5,9.49
Call of Duty 4: Modern Warfare,Shooter,X360,Activision,2007.0,5.91,2.38,0.13,0.9,9.32
Donkey Kong Country,Platform,SNES,Nintendo,1994.0,4.36,1.71,3.0,0.23,9.3
Minecraft,Misc,X360,Microsoft Game Studios,2013.0,5.58,2.83,0.02,0.77,9.2
Animal Crossing: New Leaf,Simulation,3DS,Nintendo,2012.0,2.01,2.32,4.36,0.41,9.09
Mario Party DS,Misc,DS,Nintendo,2007.0,4.46,1.88,1.98,0.7,9.02
The Elder Scrolls V: Skyrim,Role-Playing,X360,Bethesda Softworks,2011.0,5.03,2.86,0.1,0.85,8.84
Super Mario Kart,Racing,SNES,Nintendo,1992.0,3.54,1.24,3.81,0.18,8.76
FIFA 16,Sports,PS4,Electronic Arts,2015.0,1.11,6.06,0.06,1.26,8.49
Wii Party,Misc,Wii,Nintendo,2010.0,1.79,3.53,2.49,0.68,8.49
Halo 2,Shooter,XB,Microsoft Game Studios,2004.0,6.82,1.53,0.05,0.08,8.49
Mario Party 8,Misc,Wii,Nintendo,2007.0,3.81,2.3,1.58,0.73,8.42
Pokemon Black 2/Pokemon White 2,Role-Playing,DS,Nintendo,2012.0,2.91,1.86,3.14,0.43,8.33
FIFA Soccer 13,Action,PS3,Electronic Arts,2012.0,1.06,5.05,0.13,2.01,8.24
GoldenEye 007,Shooter,N64,Nintendo,1997.0,5.8,2.01,0.13,0.15,8.09
Mario & Sonic at the Olympic Games,Sports,Wii,Sega,2007.0,2.58,3.9,0.66,0.91,8.06
Final Fantasy X,Role-Playing,PS2,Sony Computer Entertainment,2001.0,2.91,2.07,2.73,0.33,8.05
Final Fantasy VIII,Role-Playing,PS,SquareSoft,1999.0,2.28,1.72,3.63,0.23,7.86
Pokémon Platinum Version,Role-Playing,DS,Nintendo,2008.0,2.82,1.78,2.69,0.55,7.84
Grand Theft Auto: Liberty City Stories,Action,PSP,Take-Two Interactive,2005.0,2.9,2.83,0.24,1.75,7.72
Super Mario Galaxy 2,Platform,Wii,Nintendo,2010.0,3.66,2.42,0.98,0.64,7.69
Star Wars Battlefront (2015),Shooter,PS4,Electronic Arts,2015.0,2.93,3.29,0.22,1.23,7.67
Call of Duty: Advanced Warfare,Shooter,PS4,Activision,2014.0,2.8,3.3,0.14,1.37,7.6
The Legend of Zelda: Ocarina of Time,Action,N64,Nintendo,1998.0,4.1,1.89,1.45,0.16,7.6
Crash Bandicoot 2: Cortex Strikes Back,Platform,PS,Sony Computer Entertainment,1997.0,3.78,2.17,1.31,0.31,7.58
Super Mario Bros. 2,Platform,NES,Nintendo,1988.0,5.39,1.18,0.7,0.19,7.46
Super Smash Bros. for Wii U and 3DS,Fighting,3DS,Nintendo,2014.0,3.24,1.35,2.42,0.43,7.45
Battlefield 3,Shooter,X360,Electronic Arts,2011.0,4.46,2.13,0.06,0.69,7.34
The Legend of Zelda: Twilight Princess,Action,Wii,Nintendo,2006.0,3.83,2.19,0.6,0.7,7.31
Call of Duty: Black Ops 3,Shooter,XOne,Activision,2015.0,4.52,2.09,0.01,0.67,7.3
Battlefield 3,Shooter,PS3,Electronic Arts,2011.0,2.85,2.93,0.35,1.1,7.23
Need for Speed Underground,Racing,PS2,Electronic Arts,2003.0,3.27,2.83,0.08,1.02,7.2
Tekken 3,Fighting,PS,Sony Computer Entertainment,1998.0,3.27,2.22,1.4,0.29,7.16
Crash Bandicoot 3: Warped,Platform,PS,Sony Computer Entertainment,1998.0,3.68,1.75,1.42,0.28,7.13
Super Smash Bros. Melee,Fighting,GC,Nintendo,2001.0,4.41,1.04,1.39,0.22,7.07
Mario Kart 8,Racing,WiiU,Nintendo,2014.0,3.13,2.07,1.27,0.49,6.96
Fallout 4,Role-Playing,PS4,Bethesda Softworks,2015.0,2.47,3.15,0.24,1.1,6.96
Mario Kart: Double Dash!!,Racing,GC,Nintendo,2003.0,4.12,1.77,0.87,0.19,6.95
FIFA 14,Sports,PS3,Electronic Arts,2013.0,0.78,4.32,0.07,1.73,6.9
Need for Speed Underground 2,Racing,PS2,Electronic Arts,2004.0,2.71,3.02,0.08,1.09,6.9
Medal of Honor: Frontline,Shooter,PS2,Electronic Arts,2002.0,2.93,2.75,0.17,0.99,6.83
Uncharted 3: Drake's Deception,Action,PS3,Sony Computer Entertainment,2011.0,2.77,2.8,0.19,1.06,6.83
Crash Bandicoot,Platform,PS,Sony Computer Entertainment,1996.0,3.23,2.35,0.94,0.3,6.82
Gears of War 2,Shooter,X360,Microsoft Game Studios,2008.0,4.15,1.92,0.06,0.64,6.76
Uncharted 2: Among Thieves,Action,PS3,Sony Computer Entertainment,2009.0,3.27,2.25,0.21,1.0,6.73
Call of Duty 4: Modern Warfare,Shooter,PS3,Activision,2007.0,3.1,2.3,0.28,1.04,6.72
FIFA 12,Sports,PS3,Electronic Arts,2011.0,0.84,4.32,0.11,1.42,6.69
Big Brain Academy,Misc,DS,Nintendo,2005.0,1.67,2.78,1.6,0.62,6.67
Red Dead Redemption,Action,PS3,Take-Two Interactive,2010.0,2.79,2.61,0.17,1.03,6.6
FIFA 15,Sports,PS4,Electronic Arts,2014.0,0.79,4.29,0.05,1.47,6.59
Donkey Kong Country Returns,Platform,Wii,Nintendo,2010.0,3.25,1.84,1.03,0.47,6.59
The Elder Scrolls V: Skyrim,Role-Playing,PS3,Bethesda Softworks,2011.0,2.55,2.71,0.25,1.05,6.56
The Legend of Zelda,Action,NES,Nintendo,1986.0,3.74,0.93,1.69,0.14,6.51
Assassin's Creed III,Action,PS3,Ubisoft,2012.0,2.64,2.56,0.16,1.14,6.5
Halo: Combat Evolved,Shooter,XB,Microsoft Game Studios,2001.0,4.98,1.3,0.08,0.07,6.43
Pokémon Emerald Version,Role-Playing,GBA,Nintendo,2004.0,2.57,1.58,2.06,0.21,6.41
Kingdom Hearts,Role-Playing,PS2,Sony Computer Entertainment,2002.0,3.64,1.2,1.49,0.07,6.4
Pokémon Crystal Version,Role-Playing,GB,Nintendo,2000.0,2.55,1.56,1.29,0.99,6.39
Halo 3: ODST,Shooter,X360,Microsoft Game Studios,2009.0,4.34,1.35,0.06,0.61,6.36
Red Dead Redemption,Action,X360,Take-Two Interactive,2010.0,3.7,1.97,0.09,0.57,6.34
Super Mario Sunshine,Platform,GC,Nintendo,2002.0,4.01,1.26,0.87,0.17,6.31
Street Fighter II: The World Warrior,Fighting,SNES,Capcom,1992.0,2.47,0.83,2.87,0.12,6.3
Driver,Action,PS,GT Interactive,1999.0,3.11,2.8,0.02,0.33,6.27
Kinect Sports,Sports,X360,Microsoft Game Studios,2010.0,3.92,1.78,0.03,0.51,6.24
Gears of War 3,Shooter,X360,Microsoft Game Studios,2011.0,4.05,1.62,0.07,0.49,6.24
Gears of War,Shooter,X360,Microsoft Game Studios,2006.0,3.54,1.9,0.07,0.6,6.11
Metal Gear Solid 2: Sons of Liberty,Action,PS2,Konami Digital Entertainment,2001.0,2.45,2.01,0.87,0.72,6.05
Sonic the Hedgehog 2,Platform,GEN,Sega,1992.0,4.47,1.2,0.16,0.19,6.03
Metal Gear Solid 4: Guns of the Patriots,Action,PS3,Konami Digital Entertainment,2008.0,2.63,1.74,0.83,0.83,6.03
Metal Gear Solid,Action,PS,Konami Digital Entertainment,1998.0,3.18,1.83,0.78,0.24,6.03
The Last of Us,Action,PS3,Sony Computer Entertainment Europe,2013.0,2.41,2.28,0.28,1.01,5.99
LittleBigPlanet,Platform,PS3,Sony Computer Entertainment,2008.0,2.8,2.05,0.17,0.9,5.92
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,Nintendo,2009.0,0.66,0.69,4.35,0.15,5.84
Resident Evil 2,Action,PS,Virgin Interactive,1998.0,1.88,1.47,2.02,0.45,5.82
Tekken 2,Fighting,PS,Sony Computer Entertainment,1996.0,2.26,1.89,1.36,0.23,5.74
Cooking Mama,Simulation,DS,505 Games,2006.0,3.13,1.94,0.07,0.58,5.72
Destiny,Shooter,PS4,Activision,2014.0,2.49,2.05,0.16,0.96,5.65
Tetris,Puzzle,NES,Nintendo,1988.0,2.97,0.69,1.81,0.11,5.58
Assassin's Creed II,Action,PS3,Ubisoft,2009.0,2.54,1.95,0.21,0.87,5.57
Super Smash Bros.,Fighting,N64,Nintendo,1999.0,2.95,0.6,1.97,0.04,5.55
Assassin's Creed,Adventure,X360,Ubisoft,2007.0,3.28,1.65,0.07,0.55,5.55
Batman: Arkham City,Action,PS3,Warner Bros. Interactive Entertainment,2011.0,2.7,1.91,0.11,0.8,5.53
Forza Motorsport 3,Racing,X360,Microsoft Game Studios,2009.0,2.99,1.92,0.1,0.51,5.51
Monster Hunter Freedom Unite,Role-Playing,PSP,Capcom,2008.0,0.47,0.57,4.13,0.34,5.5
Super Mario Advance,Platform,GBA,Nintendo,2001.0,3.14,1.24,0.91,0.2,5.49
Mario Kart: Super Circuit,Racing,GBA,Nintendo,2001.0,2.62,1.64,0.99,0.23,5.47
Super Mario World,Platform,GBA,Nintendo,2001.0,3.21,1.11,0.95,0.2,5.46
Pokemon Stadium,Strategy,N64,Nintendo,1999.0,3.18,1.24,0.94,0.09,5.45
Crash Bandicoot: The Wrath of Cortex,Platform,PS2,Universal Interactive,2001.0,2.07,2.29,0.24,0.82,5.42
Final Fantasy XIII,Role-Playing,PS3,Square Enix,2009.0,1.74,1.24,1.87,0.52,5.36
Dr. Mario,Puzzle,GB,Nintendo,1989.0,2.18,0.96,2.0,0.2,5.34
Pokemon Pinball,Misc,GB,Nintendo,1999.0,3.02,1.12,1.01,0.16,5.31
Assassin's Creed III,Action,X360,Ubisoft,2012.0,3.13,1.71,0.03,0.44,5.3
Final Fantasy IX,Role-Playing,PS,SquareSoft,2000.0,1.62,0.77,2.78,0.14,5.3
Final Fantasy X-2,Role-Playing,PS2,Electronic Arts,2003.0,1.92,1.08,2.11,0.17,5.29
Donkey Kong 64,Platform,N64,Nintendo,1999.0,3.33,0.79,1.09,0.06,5.27
Assassin's Creed II,Action,X360,Ubisoft,2009.0,3.1,1.56,0.08,0.51,5.27
Professor Layton and the Curious Village,Puzzle,DS,Nintendo,2007.0,1.22,2.48,1.03,0.52,5.26
Tomb Raider II,Action,PS,Eidos Interactive,1997.0,2.3,2.46,0.2,0.28,5.24
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,Square Enix,2004.0,0.65,0.75,3.61,0.2,5.21
Super Mario Bros. 3,Platform,GBA,Nintendo,2003.0,2.93,1.25,0.83,0.2,5.2
New Super Mario Bros. U,Platform,WiiU,Nintendo,2012.0,2.32,1.3,1.27,0.31,5.19
Super Mario Land 3: Wario Land,Platform,GB,Nintendo,1994.0,2.49,0.98,1.57,0.15,5.19
FIFA Soccer 13,Action,X360,Electronic Arts,2012.0,1.08,3.48,0.03,0.58,5.18
The Legend of Zelda: Phantom Hourglass,Action,DS,Nintendo,2007.0,1.9,1.83,0.95,0.49,5.17
Donkey Kong Country 2: Diddy's Kong Quest,Platform,SNES,Nintendo,1995.0,2.1,0.74,2.2,0.11,5.15
Tomodachi Life,Simulation,3DS,Nintendo,2013.0,0.96,2.02,1.89,0.28,5.15
Mario & Sonic at the Olympic Games,Sports,DS,Sega,2008.0,1.64,2.48,0.44,0.58,5.14
Medal of Honor: Rising Sun,Shooter,PS2,Electronic Arts,2003.0,1.98,2.23,0.13,0.8,5.13
Kirby's Dream Land,Platform,GB,Nintendo,1992.0,2.71,0.61,1.7,0.11,5.13
Fable III,Role-Playing,X360,Microsoft Game Studios,2010.0,3.59,1.11,0.05,0.38,5.13
Call of Duty: Advanced Warfare,Shooter,XOne,Activision,2014.0,3.21,1.53,0.01,0.38,5.13
Resident Evil 5,Action,PS3,Capcom,2009.0,1.96,1.43,1.08,0.65,5.11
Grand Theft Auto: Vice City Stories,Action,PSP,Take-Two Interactive,2006.0,1.7,2.02,0.16,1.21,5.08
FIFA Soccer 11,Sports,PS3,Electronic Arts,2010.0,0.6,3.29,0.06,1.13,5.08
Super Mario Bros.,Platform,GB,Nintendo,1999.0,3.4,1.3,0.15,0.22,5.07
Resident Evil,Action,PS,Virgin Interactive,1996.0,2.05,1.16,1.11,0.73,5.05
Tony Hawk's Pro Skater,Sports,PS,Activision,1999.0,3.42,1.38,0.02,0.2,5.02
Super Smash Bros. for Wii U and 3DS,Fighting,WiiU,Nintendo,2014.0,2.59,1.06,0.8,0.57,5.02
Spyro the Dragon,Platform,PS,Sony Computer Entertainment,1998.0,3.36,1.36,0.07,0.21,5.0
Link's Crossbow Training,Shooter,Wii,Nintendo,2007.0,3.06,1.18,0.29,0.46,5.0
Guitar Hero III: Legends of Rock,Misc,PS2,Activision,2007.0,3.49,0.01,0.01,1.48,4.98
Fallout 3,Role-Playing,X360,Bethesda Softworks,2008.0,3.39,1.03,0.09,0.44,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,DS,Nintendo,2007.0,1.85,1.2,1.54,0.37,4.96
Uncharted: Drake's Fortune,Action,PS3,Sony Computer Entertainment,2007.0,2.31,1.73,0.12,0.78,4.94
Madden NFL 06,Sports,PS2,Electronic Arts,2005.0,3.98,0.26,0.01,0.66,4.91
Diddy Kong Racing,Racing,N64,Nintendo,1997.0,2.91,0.99,0.89,0.1,4.88
Dr. Mario,Puzzle,NES,Nintendo,1990.0,2.62,0.6,1.52,0.1,4.85
God of War III,Action,PS3,Sony Computer Entertainment,2010.0,2.74,1.36,0.12,0.63,4.84
Assassin's Creed,Adventure,PS3,Ubisoft,2007.0,1.91,2.0,0.09,0.83,4.83
FIFA 15,Sports,PS3,Electronic Arts,2014.0,0.57,3.14,0.04,1.07,4.82
Crash Team Racing,Racing,PS,Sony Computer Entertainment,1999.0,2.57,1.57,0.44,0.21,4.79
FIFA 17,Sports,PS4,Electronic Arts,2016.0,0.28,3.75,0.06,0.69,4.77
Batman: Arkham City,Action,X360,Warner Bros. Interactive Entertainment,2011.0,2.99,1.31,0.04,0.41,4.76
Driver 2,Action,PS,Atari,2000.0,2.36,2.1,0.02,0.25,4.73
Tony Hawk's Pro Skater 2,Sports,PS,Activision,2000.0,3.05,1.41,0.02,0.2,4.68
Animal Crossing: City Folk,Simulation,Wii,Nintendo,2008.0,1.87,1.12,1.32,0.37,4.68
The Lord of the Rings: The Two Towers,Action,PS2,Electronic Arts,2002.0,1.94,1.95,0.08,0.7,4.67
Forza Motorsport 4,Racing,X360,Microsoft Game Studios,2011.0,2.08,2.04,0.06,0.47,4.64
Tomb Raider,Action,PS,Eidos Interactive,1996.0,2.29,1.97,0.13,0.24,4.63
The Legend of Zelda: A Link to the Past,Action,SNES,Nintendo,1991.0,2.42,0.91,1.15,0.13,4.61
The Legend of Zelda: The Wind Waker,Action,GC,Nintendo,2002.0,2.6,0.99,0.89,0.13,4.6
Mario & Sonic at the Olympic Winter Games,Sports,Wii,Sega,2009.0,1.89,1.99,0.22,0.48,4.58
Luigi's Mansion: Dark Moon,Action,3DS,Nintendo,2013.0,1.78,1.39,1.1,0.3,4.58
Splatoon,Shooter,WiiU,Nintendo,2015.0,1.55,1.15,1.44,0.43,4.57
The Last of Us,Action,PS4,Sony Computer Entertainment,2014.0,1.78,1.87,0.07,0.82,4.55
Guitar Hero III: Legends of Rock,Misc,X360,Activision,2007.0,3.19,0.92,0.01,0.42,4.53
Madden NFL 2005,Sports,PS2,Electronic Arts,2004.0,4.18,0.26,0.01,0.08,4.53
Madden NFL 07,Sports,PS2,Electronic Arts,2006.0,3.63,0.24,0.01,0.61,4.49
Spider-Man: The Movie,Action,PS2,Activision,2002.0,2.71,1.51,0.03,0.23,4.48
Dragon Quest VII: Warriors of Eden,Role-Playing,PS,Enix Corporation,2000.0,0.2,0.14,4.1,0.02,4.47
Uncharted: The Nathan Drake Collection,Action,PS4,Sony Computer Entertainment,2015.0,1.96,1.69,0.08,0.74,4.47
Call of Duty: Advanced Warfare,Shooter,PS3,Activision,2014.0,1.54,1.94,0.19,0.77,4.45
God of War,Action,PS2,Sony Computer Entertainment,2005.0,2.71,1.29,0.02,0.43,4.45
Nintendo Land,Misc,WiiU,Nintendo,2012.0,2.55,1.11,0.46,0.33,4.44
Michael Jackson: The Experience,Misc,Wii,Ubisoft,2010.0,2.67,1.35,0.01,0.39,4.42
Tony Hawk's Pro Skater 3,Sports,PS2,Activision,2001.0,2.66,1.29,0.01,0.46,4.41
Winning Eleven: Pro Evolution Soccer 2007,Sports,PS2,Konami Digital Entertainment,2006.0,0.1,2.39,1.05,0.86,4.39
The Elder Scrolls IV: Oblivion,Role-Playing,X360,Take-Two Interactive,2006.0,2.82,1.05,0.13,0.4,4.39
Zelda II: The Adventure of Link,Adventure,NES,Nintendo,1987.0,2.19,0.5,1.61,0.08,4.38
Need for Speed: Most Wanted,Racing,PS2,Electronic Arts,2005.0,2.03,1.79,0.08,0.47,4.37
Resistance: Fall of Man,Shooter,PS3,Sony Computer Entertainment,2006.0,1.73,1.73,0.14,0.75,4.35
Sonic the Hedgehog,Platform,GEN,Sega,1991.0,3.03,0.91,0.26,0.13,4.34
Kingdom Hearts II,Role-Playing,PS2,Square Enix,2005.0,2.2,0.58,1.38,0.17,4.33
FIFA 14,Sports,X360,Electronic Arts,2013.0,0.92,2.93,0.01,0.46,4.31
Fable II,Role-Playing,X360,Microsoft Game Studios,2008.0,2.51,1.27,0.11,0.41,4.31
Halo 5: Guardians,Shooter,XOne,Microsoft Game Studios,2015.0,2.64,1.2,0.03,0.39,4.26
Super Mario 3D World,Platform,WiiU,Nintendo,2013.0,2.11,1.11,0.72,0.3,4.25
Batman: Arkham Asylum,Action,PS3,Eidos Interactive,2009.0,2.23,1.34,0.07,0.61,4.25
Assassin's Creed: Revelations,Action,PS3,Ubisoft,2011.0,1.41,2.02,0.1,0.72,4.24
Namco Museum,Misc,GBA,Namco Bandai Games,2001.0,3.0,1.11,0.05,0.07,4.24
The Legend of Zelda: Ocarina of Time,Action,3DS,Nintendo,2011.0,2.03,1.27,0.62,0.3,4.21
FIFA Soccer 06,Sports,PS2,Electronic Arts,2005.0,0.78,2.55,0.04,0.84,4.21
EyeToy Play,Misc,PS2,Sony Computer Entertainment,2003.0,0.88,2.3,0.2,0.83,4.2
Uncharted 4: A Thief's End,Shooter,PS4,Sony Computer Entertainment,2016.0,1.3,2.07,0.18,0.65,4.2
Gran Turismo 5 Prologue,Racing,PS3,Sony Computer Entertainment,2007.0,1.28,1.83,0.57,0.53,4.2
Assassin's Creed: Revelations,Action,X360,Ubisoft,2011.0,2.25,1.47,0.04,0.43,4.19
Street Fighter IV,Fighting,PS3,Capcom,2009.0,2.02,1.06,0.58,0.53,4.19
FIFA 12,Sports,X360,Electronic Arts,2011.0,0.84,2.79,0.02,0.53,4.19
Teenage Mutant Ninja Turtles,Action,NES,Palcom,1989.0,3.38,0.44,0.31,0.04,4.17
Excitebike,Racing,NES,Nintendo,1984.0,2.04,0.48,1.57,0.07,4.16
Madden NFL 2003,Sports,PS2,Electronic Arts,2002.0,3.36,0.21,0.01,0.56,4.14
Watch Dogs,Action,PS4,Ubisoft,2014.0,1.4,1.86,0.11,0.77,4.14
Super Mario World 2: Yoshi's Island,Platform,SNES,Nintendo,1995.0,1.65,0.61,1.76,0.09,4.12
FIFA Soccer 07,Sports,PS2,Electronic Arts,2006.0,0.71,2.48,0.03,0.89,4.11
The Legend of Zelda: Skyward Sword,Action,Wii,Nintendo,2011.0,2.14,1.2,0.37,0.4,4.1
Street Fighter II Turbo,Fighting,SNES,Capcom,1992.0,1.42,0.51,2.1,0.07,4.1
Carnival Games,Misc,Wii,Take-Two Interactive,2007.0,2.13,1.5,0.05,0.42,4.1
Fallout 4,Role-Playing,XOne,Bethesda Softworks,2015.0,2.45,1.26,0.01,0.37,4.09
Fallout: New Vegas,Role-Playing,X360,Bethesda Softworks,2010.0,2.65,1.06,0.04,0.33,4.08
God of War II,Action,PS2,Sony Computer Entertainment,2007.0,2.32,0.04,0.04,1.67,4.07
Forza Motorsport 2,Racing,X360,Microsoft Game Studios,2007.0,2.35,1.28,0.03,0.41,4.06
World Soccer Winning Eleven 9,Sports,PS2,Konami Digital Entertainment,2005.0,0.12,2.26,0.9,0.77,4.06
Namco Museum Vol.3,Misc,PS,Sony Computer Entertainment,1996.0,2.28,1.55,0.16,0.06,4.05
